,Ground Truth,Predictions
0,1.4974886,0.72990793
1,-0.2071402,-0.21512789
2,-0.58083344,-0.7899471
3,1.5131435,1.0863376
4,0.17622504,-0.19297916
5,-0.51692,-0.23158635
6,0.39513594,-0.17877407
7,-0.68997556,0.41768682
8,-0.47781867,-0.42299294
9,1.7329042,1.0053782
10,0.8302162,0.9777008
11,0.38000247,-0.15929866
12,0.26776284,0.119377635
13,0.47325045,-0.28584427
14,-0.64499676,-0.58131725
15,-0.78949744,-0.15427475
16,-0.68717504,-0.24314752
17,-0.21876167,-0.22074835
18,0.9602133,-0.44507724
19,-0.1720595,-0.17003958
20,-0.41458717,-0.12399607
21,1.5249768,0.7751216
22,-0.16546097,-0.19747843
23,-0.30667916,-0.11711352
24,0.20249559,-0.048256934
25,0.29913467,0.09583133
26,-0.3969841,-0.21616848
27,-0.3110195,-0.2182525
28,-0.45215404,0.074795604
29,0.030730156,-0.29632705
30,1.6011983,0.79635346
31,-0.097712964,-0.19838028
32,-0.38145605,-0.15798537
33,0.035242684,-0.066598795
34,-0.25776199,-0.30927926
35,0.23501754,0.19299296
36,-0.57555,-0.5474484
37,0.6086669,0.95353734
38,-0.2410739,-0.1789108
39,1.0620911,0.8364402
40,-0.10797356,0.08223023
41,-0.3312682,-0.37718087
42,1.5776954,0.5884687
43,-0.43729004,-0.15769671
44,-0.64852905,-0.20503058
45,0.23680012,-0.09409326
46,-0.22476853,-0.17210136
47,-0.3664656,-0.19125874
48,-0.41601485,-0.15447329
49,1.7455754,0.9260597
50,1.3852819,0.114450954
51,1.1435024,0.9463684
52,-0.44028217,-0.12520887
53,-0.59531224,-0.28741115
54,1.8754466,0.97074616
55,0.5375836,0.62832046
56,-0.3018358,-0.1651163
57,-0.34315866,-0.26169458
58,-0.032360394,0.32609326
59,0.70717216,-0.39531058
60,-0.6268617,-0.21028273
61,-0.5461592,-0.38312885
62,1.4661276,1.0099335
63,1.2882217,0.5845401
64,-0.56532156,-0.64087445
65,-0.62322134,-0.1326489
66,1.1383578,0.9383974
67,0.29254875,-0.16814102
68,0.29647118,-0.101150654
69,-0.5897091,-0.04279808
70,-0.56764156,0.004871591
71,-0.4534354,-0.2511299
72,1.8581717,0.876143
73,-0.20312464,-0.21548776
74,-0.48633462,-0.33325988
75,1.2525129,1.0231386
76,0.68413013,0.8147378
77,0.23790343,0.3132537
78,-0.18294138,-0.29573208
79,-0.5616186,-0.1067564
80,-0.8457668,-0.42605257
81,0.32207286,0.48427036
82,-0.428435,-0.34905928
83,1.693399,0.91425675
84,0.6128481,0.8884283
85,-0.56772894,-0.43707424
86,0.8271673,0.7877157
87,-0.6136679,-0.38408637
88,-0.53205323,-0.28599325
89,-0.15858021,-0.0319106
90,0.13291655,-0.09819373
91,-0.20300566,0.5641647
92,-0.16673361,-0.10205678
93,0.40703994,0.21112047
94,1.5372854,0.91655356
95,-0.62839216,-0.124285676
96,1.2720557,1.0034477
97,-0.4286834,-0.21619606
98,-0.5344243,-0.23548263
99,-0.5735895,0.31228977
100,-0.34908578,-0.09820286
101,0.71258307,0.5004497
102,0.7745649,0.8658089
103,0.3626293,0.20145133
104,1.352088,0.30886722
105,-0.25787336,0.26852793
106,0.16673075,-0.10070853
107,-0.00754563,0.20842475
108,0.61484146,0.06505296
109,-0.8998332,-0.31296712
110,-0.3682501,-0.15601386
111,0.75858426,0.7434458
112,-0.46854955,-0.09611235
113,-0.7041407,-0.3860365
114,0.92183274,0.8832146
115,-0.4087877,-0.3108685
116,-0.16464236,-0.1970068
117,-0.31607556,0.2324139
118,-0.4373935,-0.20946522
119,-0.34633827,-0.3296731
120,-0.6562483,-0.38013846
121,0.19132191,0.4802263
122,-0.44099653,-0.1813672
123,0.27857035,0.28542787
124,-0.54108757,0.38842916
125,-0.11941719,-0.15128192
126,1.390583,0.880983
127,-0.13945614,-0.19013298
128,-0.083102256,-0.15808658
129,-0.45342058,-0.01073435
130,-0.0526194,0.14466147
131,-0.26690498,-0.054297835
132,-0.42784262,0.039172187
133,1.3636047,1.011505
134,0.27963784,0.11808337
135,-0.05807152,-0.12002538
136,-0.5451339,-0.3808573
137,-0.38644475,-0.17494625
138,-0.52604944,-0.22619905
139,0.003366794,-0.11367151
140,-0.33594832,-0.23090573
141,0.015714454,-0.053607687
142,-0.48124006,0.46911377
143,1.361855,0.21158627
144,-0.41638014,-0.21946885
145,0.9948486,0.78625596
146,0.050964486,0.29936886
147,-0.39873466,-0.19347748
148,-0.14303407,-0.017058883
149,-0.611768,-0.17217392
150,-0.21348731,-0.064854756
151,1.3078408,0.8690033
152,-0.111873776,0.47237387
153,-0.11341127,-0.3155201
154,-0.55427176,0.2708147
155,-0.45945013,-0.2247671
156,-0.008326224,0.09235351
157,0.18495767,-0.26954776
158,-0.1886214,0.1403017
159,-0.250603,-0.1854317
160,1.0574559,0.66975284
161,-0.46137896,-0.29011756
162,-0.4829715,-0.1325712
163,0.6756155,0.945832
164,-0.370853,-0.13229501
165,0.2968574,0.18851303
166,0.19207343,-0.10361662
167,0.007704499,0.37641418
168,-0.29377237,-0.32222235
169,-0.25897586,-0.05709241
170,-0.5206121,-0.24482353
171,-0.4867288,-0.04856391
172,-0.06701691,0.36887962
173,-0.26637205,0.15457484
174,0.07931411,-0.14175476
175,-0.5623307,-0.19100589
176,-0.18895268,-0.13533746
177,-0.43903872,-0.19525224
178,0.16192268,0.026539523
179,-0.5812888,-0.1872038
180,-0.38644078,-0.08323147
181,-0.23326649,-0.12259809
182,-0.71969634,-0.010417589
183,-0.5022922,-0.26485896
184,-0.48384568,-0.1758208
185,1.2663605,1.0081962
186,-0.1266571,-0.13677244
187,-0.07815796,-0.16503912
188,-0.8741512,-0.46465462
189,-0.7536129,-0.300081
190,0.6726543,1.117602
191,-0.38857234,-0.1943592
192,-0.5047258,-0.29298514
193,0.4336275,0.32420003
194,-0.31105712,-0.31855124
195,0.983933,0.59493476
196,-0.1791436,-0.2376828
197,-0.20368604,-0.095862016
198,-0.5701608,-0.24629231
199,-0.45564857,-0.032231297
200,0.009812744,-0.163016
201,0.9499229,0.19228952
202,-0.21296877,0.46124765
203,-0.5427686,-0.22043487
204,-0.58051234,-0.124225326
205,-0.36906967,-0.077489786
206,-0.46609247,-0.10933894
207,-0.51578176,-0.31015214
208,-0.44539893,-0.26283538
209,-0.4132257,-0.123296924
210,-0.5991046,-0.22000183
211,-0.37485993,-0.39897856
212,-0.4595737,-0.26552016
213,-0.2244327,-0.26217487
214,0.5962212,-0.014608265
215,-0.13244204,-0.13542561
216,-0.54421824,0.045957282
217,0.64855754,0.34973633
218,-0.28937843,0.0550586
219,-0.33397406,-0.019606508
220,-0.5009486,-0.14800142
221,-0.12707397,-0.3159231
222,0.22262898,0.6314332
223,-0.39560425,-0.17555816
224,-0.68430334,-0.26551518
225,1.0343094,0.82840294
226,-0.769688,-0.27397227
227,-0.41946456,-0.19701912
228,-0.4816147,-0.33448845
229,-0.41707063,-0.12882718
230,1.7296075,1.090155
231,-0.45681655,-0.25721133
232,-0.22446154,0.44887936
233,1.200159,1.1571566
234,-0.01794044,0.5922243
235,-0.2753963,-0.26380697
236,-0.5920442,-0.31722623
237,0.22199969,0.4764111
238,-0.05753453,-0.24143453
239,-0.47427925,-0.030019555
240,-0.459694,-0.27538756
241,1.3819989,1.0127829
242,-0.061607152,0.2551513
243,-0.12020551,-0.021809928
244,-0.05712916,-0.21464582
245,0.6758756,1.276444
246,-0.0731809,-0.087812394
247,-0.3663663,-0.24558334
248,-0.7736722,-0.41334242
249,-0.03908957,-0.38438603
250,-0.6290987,0.064458884
251,-0.10326152,-0.46370107
252,0.39527977,0.007877692
253,0.617561,0.67739433
254,-0.43373308,-0.28428262
255,0.48833975,0.39561495
256,1.0255367,0.6155003
257,-0.3882083,-0.26666707
258,0.6333782,-0.1523081
259,-0.36001697,-0.0007414231
260,0.69519126,0.9170544
261,-0.45610508,0.1450977
262,-0.28442013,-0.055330586
263,-0.9728385,-0.4941134
264,-0.095027685,0.019084558
265,-0.04214086,-0.23995942
266,0.52449465,0.943659
267,1.5039772,0.8713647
268,-0.4201302,-0.1516984
269,1.5147538,1.1518639
270,-0.34464568,-0.33376804
271,0.01645759,-0.26444784
272,-0.45398146,-0.14828311
273,0.19664797,0.33061263
